nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7,  A8,  A9,  A10,  A11,  A12,  A13,  A14,  A15,  A16,  A17,  A18,  A19
 522,     1, -31,  -7,  -7,  -7, -31, -23, -23,  -7,  -7,  -7,  85, -31,  -7, -31,  -7,  -7,  -7,  -7, -11,  -7
 523,     1,  -9,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  79,  -5,  -5,  -5,  -5,  -5, -21,  -5,  -5,  -5,  -5
 524,     1,  -9, -21,  -5,  -5,  -9,  -5, -17, -25,  -5, -21,  -5,  87,  -9,  -5, -21, -17,  -5,  -5,  -5,  -5
 525,     1,  89,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3, -15,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3
 526,     1,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -7,  -3,  -7,  -3,  -3,  -3,  -3, -11,  -3,  89
 527,     1,  -3,  -3,  -7,  -3,  -7,  -3,  -3,  -3,  -3, -15,  -3,  -3,  -3,  -7,  93,  -3,  -3,  -3,  -3, -11
 528,     1,  -5, -17,  -9, -13,  -5, -17,  -5, -21, -17,  -5, -17,  -5,  -5,  -5,  -5, -21, -17, -25, -21,  87
 529,     1,  -4,  -4,  -4,  -4,  -4,  -8,  92,  -4, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 530,     1,  -6,  -6,  -6, -18,  -6, -14, -14, -22,  70,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -10, -30, -30
 531,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -8, -20,  -4,  -8, -16,  -4,  -4,  -4,  -4,  80,  -8,  -4,  -4,  -4
 532,     1,  -4,  -8,  -4,  -4, -12,  -4, -16,  -4,  -4,  -4,  -4,  -4,  92,  -8, -12,  -4, -16,  -4,  -4,  -8
 533,     1,  -3,  -3, -11,  -3, -15,  -3,  -3,  93,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 534,     1, -11,  -3,  -3,  -3,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -15,  -3
 535,     1,  -5,  -9,  -5,  -5,  -5,  -5, -17,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -21,  91,  -5,  -9, -21, -13
 536,     1, -21,  -5,  -5,  -9,  -5,  -9, -13,  -5,  -5, -13, -25, -17,  -5, -13,  87,  -5,  -5,  -5,  -9, -25
 537,     1,  -5,  -5,  -5,  83,  -5,  -9,  -9,  -5,  -5,  -5,  -5, -25,  -5, -21,  -5, -21,  -5, -13, -17,  -5
 538,     1,  -9, -25,  -5,  -5,  -5,  -5,  -5,  -5,  91,  -5,  -5, -25, -21,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 539,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  80, -16,  -4,  -4,  -4,  -8, -12, -20,  -4, -16,  -4, -16,  -4
 540,     1,  -6, -22, -30,  -6, -10,  -6, -22,  -6, -26, -14,  -6, -14,  -6, -10,  86,  -6,  -6, -10,  -6,  -6
 541,     1,  -7,  -7, -23,  -7, -23, -11,  65, -31, -11, -19, -35,  -7, -11,  -7, -27,  -7, -27, -11, -27,  -7
 542,     1, -13,  -5,  87,  -5,  -5,  -5, -13, -21,  -5,  -5,  -5, -21,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -9
 543,     1,  -3,  -3,  -3, -15,  -3,  -3,  -3,  -3,  89, -11,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3
 544,     1,  -5,  -5,  -5,  -5,  -5,  83,  -5, -21,  -5,  -5, -25,  -5,  -5, -25,  -5,  -5, -13,  -5,  -5, -25
 545,     1, -12,  84,  -4,  -4, -12,  -4, -20,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4
 546,     1, -25,  -5,  -5,  -5,  -5,  -5,  79,  -5,  -5,  -5, -21, -25,  -5,  -9, -17, -17,  -5, -25, -21,  -5
 547,     1, -15,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  89, -11,  -3,  -3,  -3,  -3
 548,     1,  -4,  -4,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4, -20, -16,  92,  -4
 549,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  89,  -3,  -7, -11,  -3,  -3,  -3,  -3,  -3, -11, -15,  -3,  -3
 550,     1,  -3,  -3,  -3, -11,  -3,  -3,  -3,  89,  -3, -11,  -3,  -3, -11,  -3, -11, -11,  -3, -11,  -3,  -3
 551,     1,  -6,  -6, -22, -26,  -6,  -6,  -6,  -6, -22, -30,  -6,  -6,  -6,  82,  -6, -22,  -6,  -6, -30, -26
 552,     1, -25, -25,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -21,  -5,  -5,  -5,  -5,  91, -13, -21,  -5,  -9
 553,     1,  -4,  -4,  -4,  -4,  -4,  -4,  92,  -4, -16,  -4, -12,  -4,  -4, -20,  -4,  -4,  -4,  -4,  -4,  -4
 554,     1,  -3,  -3,  93,  -3, -11,  -3,  -3,  -7,  -3, -11,  -3, -11,  -3,  -3,  -3, -11,  -3, -11,  -3,  -3
 555,     1,  -4,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -4, -20,  -4, -16,  -4,  84,  -4,  -4,  -4,  -4,  -4,  -4
 556,     1,  66, -38, -10, -10, -38, -34, -10, -42, -10, -42, -10, -30, -10, -10, -42, -42, -10, -10, -10, -10
 557,     1, -16,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  88,  -4,  -4,  -4
 558,     1, -26, -18,  -6,  -6, -30,  -6,  -6, -22,  -6,  -6,  74,  78,  -6,  -6,  -6,  -6, -22,  -6, -22,  -6
 559,     1, -15,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  89,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3
 560,     1, -11, -35,  -7, -35, -19,  77,  -7,  -7, -15, -35,  -7,  -7,  -7, -27,  -7, -15, -35, -27,  -7,  -7
 561,     1,  -3,  -3,  -3,  -3, -11,  93,  -3,  -3,  -3, -11,  -3,  -3, -15,  -7,  -3,  -3,  -3,  -3,  -3,  -3
 562,     1,  -4,  -8,  -4,  -8,  80, -16, -12,  -4,  -4,  -4, -16,  -4,  -4,  -4, -16,  -4, -16,  -4,  -4,  -4
 563,     1,  -3,  -3,  -3, -15, -11,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -7,  93,  -3, -15,  -3,  -3,  -3,  -3
 564,     1, -12,  -4,  -4,  -4,  -4,  -4,  -4, -20,  -4,  -4,  -4, -20,  -8,  -4,  -4,  84,  -4,  -4,  -4, -16
 565,     1,  -3,  -7,  -7,  -3,  89,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  -7,  -3,  -3,  -3,  -3
 566,     1,  -7,  -7, -15,  -7, -31,  -7, -15,  -7,  69,  -7,  -7, -15,  -7, -23, -19, -11,  -7, -27, -23,  -7
 567,     1,  -7,  -3,  -3,  93,  -3,  -3,  -3,  -3, -15, -11,  -3,  -7, -15,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 568,     1, -12,  -4,  -4, -12,  -4,  -4,  -4, -12,  -4,  -8,  -4,  -4, -16,  80,  -4,  -4,  -4,  -4,  -4, -12
 569,     1,  -5,  -5, -25, -25,  -5,  -5,  91,  -5,  -9,  -5,  -5,  -5,  -5, -25,  -5,  -5,  -5, -21,  -5, -21
 570,     1,  -6,  -6, -10,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  90,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2
 571,     1, -42, -10, -42, -10, -18, -42, -10, -10, -10, -42, -10, -14, -10, -18, -10, -10, -42, -14,  62, -10
 572,     1, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  92,  -4,  -4,  -4,  -4,  -4, -16,  -4, -12
 573,     1,  -3,  -3,  -3,  89, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3
 574,     1,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  88,  -4,  -4,  -4,  -4,  -4,  -4
 575,     1, -10, -14,  -6,  -6,  -6,  -6,  82,  -6, -22,  -6,  -6,  -6, -14, -22,  -6,  -6,  -6, -14, -26, -10
 576,     1, -11,  -7, -23, -31,  -7,  -7,  -7,  -7,  -7, -15, -23, -27,  -7, -19, -31,  -7,  81, -11,  -7,  -7
 577,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  94
 578,     1, -17,  91,  -5, -17, -13, -21,  -5,  -5,  -5,  -5,  -5,  -5, -13,  -5,  -5, -25,  -5, -25,  -5,  -5
 579,     1,  -6,  -6,  82, -18,  -6,  -6,  -6, -18,  -6, -14,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -22,  -6
 580,     1,  -7,  -7,  -7,  -7,  -7,  -7, -11,  -7, -15,  -7,  -7,  89,  -7, -15,  -7,  -7,  -7,  -7, -11,  -7
 581,     1,  -5,  -5,  -5,  -5, -25,  -5, -17, -13, -13, -13, -25, -17, -17,  87,  -5,  -5,  -5,  -5,  -5, -17
 582,     1,  -3,  -7,  -3, -11,  -3,  -3, -15,  -3,  -3, -15,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3,  89,  -7
 583,     1, -16,  -8,  -8, -12, -16,  -8, -28, -28, -32, -24,  -8, -36,  -8, -16,  -8,  84, -24,  -8,  -8,  -8
 584,     1,  -5,  -5, -21,  -5,  -5,  83,  -5,  -5,  -5, -17,  -5,  -5,  -5,  -5,  -5, -17,  -5,  -5,  -5, -21
 585,     1, -11,  -7,  -3,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11
 586,     1,  -9,  -5,  -5, -17,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -9,  91,  -9,  -9,  -5,  -5,  -5
 587,     1,  89,  -7,  -3,  -7,  -3,  -3,  -7,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3
 588,     1, -32,  64,  -8, -16,  -8, -12, -28, -20, -12, -40,  -8,  -8,  -8,  -8,  -8, -36,  -8, -40,  -8,  -8
 589,     1,  -9, -25,  -9, -37,  -9, -17,  -9,  -9, -37, -41, -17,  -9, -25,  -9,  -9,  -9, -41,  -9,  -9,  83
 590,     1, -15, -15,  -3,  -3,  93, -11,  -3,  -3,  -7,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3, -15,  -3
 591,     1,  -5,  -5, -21,  83,  -5,  -5,  -9,  -5,  -5,  -5, -25,  -5, -21,  -5,  -5, -17,  -5,  -5, -25,  -5
 592,     1,  79, -13,  -5,  -5, -17,  -9,  -9, -25,  -5,  -5,  -5,  -5,  -9,  -5,  -5,  -5,  -9, -21,  -5,  -5
 593,     1,  93,  -7,  -3, -15,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3
 594,     1,  -5,  -5, -13, -25,  -5,  -5,  -5, -21,  -5,  -5,  -5, -25,  -5, -21,  -5,  -5,  -5, -17,  -5,  91
 595,     1,  -7, -11,  -7, -15, -31,  89, -11, -23, -11,  -7,  -7,  -7,  -7,  -7, -31, -23,  -7,  -7,  -7,  -7
 596,     1, -17, -21,  -5, -13,  -9, -17,  -5, -25, -17,  -5,  -5,  -5, -21,  -5, -21,  87,  -5,  -5,  -5,  -5
 597,     1,  -7,  -7,  -7,  -7,  -7,  -7,  -7,  -7,  -7,  -7,  73, -19, -27, -27,  -7,  -7,  -7,  -7,  -7,  -7
 598,     1,  -6,  -6,  -6,  -6,  -6, -10,  -6,  -6, -22, -14,  -6,  -6, -18,  -6,  -6, -22,  -6,  -6,  74,  -6
 599,     1, -21,  -9,  75,  -9, -17,  -9,  -9, -41, -25,  -9, -13, -37,  -9, -13, -41,  -9,  -9,  -9, -21,  -9
 600,     1, -10,  -6,  -6,  -6,  -6, -22,  -6,  -6,  -6, -18,  70,  -6,  -6,  -6,  -6, -30,  -6,  -6,  -6,  -6
 601,     1,  -4,  -4, -12,  -4,  -4,  84,  -4,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 602,     1,  -6, -22, -18, -10,  -6, -10,  -6, -22,  -6,  -6, -26,  -6,  -6, -10,  -6,  -6,  -6, -26,  82, -18
 603,     1, -22,  -6,  -6,  -6,  -6,  70, -30, -26, -22,  -6,  -6,  -6,  -6,  -6,  -6, -14,  -6,  -6,  -6, -26
 604,     1, -16,  -4,  -4,  -4,  -4,  -4, -12, -16,  -4,  -4,  -4,  84,  -4,  -4,  -8,  -4,  -4,  -4,  -4, -16
 605,     1,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  85, -11,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 606,     1,  -4, -16,  -4,  -8,  -4,  -4,  -4,  -8, -12, -16,  -4,  -4, -16,  -4, -12, -16,  84,  -4,  -4,  -4
 607,     1,  -5,  -5,  -5, -17,  -5,  -5, -21,  -5,  -5, -13, -21,  -9,  -5,  -5,  83,  -5,  -5,  -5,  -5, -21
 608,     1,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  89
 609,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -16,  -8, -20,  -4,  -4,  -4,  -4,  80,  -4,  -4,  -4,  -4,  -4
 610,     1, -16,  -4,  -4,  -4, -12,  -8,  -4,  -4,  -4, -16,  -4,  -4,  -8,  -8,  -4,  -4, -20,  -4,  92, -12
 611,     1,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -2,  94,  -2,  -2,  -2,  -6,  -2,  -6,  -2,  -2,  -2
 612,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -7,  85,  -3,  -3,  -3,  -3
 613,     1, -16,  -4,  -8,  -4,  -4,  -4,  -4, -16,  -4,  -4,  -4,  -4,  88,  -4, -12,  -4, -20,  -4,  -4,  -8
 614,     1,  -8,  -8, -32, -24,  -8, -36,  -8, -28,  -8, -28, -20,  80,  -8, -20, -24,  -8,  -8,  -8,  -8,  -8
 615,     1,  -4,  84,  -4, -12,  -4,  -4, -16,  -4,  -8,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 616,     1,  80,  -4,  -4, -12,  -4,  -4, -12,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 617,     1,  -5,  79,  -5,  -5, -21, -21,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -13,  -5
 618,     1,  -5,  -5,  -5,  -5,  -5, -25, -21,  -5,  -5, -17,  -5,  -5,  -5,  83,  -5,  -5,  -5,  -5,  -5, -17
 619,     1,  -3, -11,  -3, -11,  -3,  -3,  93,  -3,  -3,  -3,  -7, -15,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3
 620,     1,  -6,  -6, -26,  -6, -30,  -6,  -6,  -6, -30,  -6, -10, -22, -26,  70,  -6, -26,  -6,  -6,  -6,  -6
 621,     1, -17, -13, -29, -21,  -9,  79,  -9, -29,  -9,  -9,  -9,  -9,  -9, -33, -25,  -9,  -9, -41,  -9,  -9
 622,     1,  -4,  -4,  92,  -8, -12,  -4, -20,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -4, -12, -16
 623,     1, -11,  -3, -11,  -3, -11,  -3,  -3, -11,  93,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3
 624,     1,  -3,  89,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -7, -15,  -3,  -3,  -3
 625,     1, -23,  -7,  -7, -31, -19,  -7, -27,  -7,  -7, -11,  -7,  -7, -23, -31,  89,  -7, -23,  -7,  -7,  -7
 626,     1,  -2,  -2, -10,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  94,  -2,  -2,  -2,  -2,  -2,  -2,  -2, -10
 627,     1,  -9, -29, -29,  -9,  -9,  -9, -25,  -9,  -9,  -9, -17,  -9, -13, -17,  -9, -21, -41, -13,  71,  -9
 628,     1,  -4, -12,  -4,  -4,  -8,  88,  -4, -16,  -4,  -4,  -4,  -4, -12,  -4,  -4,  -4,  -4,  -8,  -4,  -4
 629,     1, -21,  -5,  -5, -25,  -5,  -5,  -5,  -9,  -5,  -5, -21, -17,  -5, -21,  83,  -5, -17, -17, -13,  -5
 630,     1,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  90, -10
 631,     1, -31,  -7,  -7,  69, -27,  -7, -27,  -7,  -7,  -7, -27,  -7, -27, -23, -15, -15,  -7, -23, -11,  -7
 632,     1,  -4,  -4, -16,  -4,  -4, -16,  -4,  -4, -16,  -8,  -4,  -4, -16,  -4,  -4,  -4,  88,  -4,  -4,  -4
 633,     1, -16,  -4,  -4,  -4,  84,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4,  -4, -16,  -4,  -4
 634,     1,  -3,  -3, -11,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  89, -15,  -3,  -3,  -3,  -3,  -7,  -3
 635,     1,  -8, -20,  -8,  -8, -28,  -8, -28,  -8,  -8,  72,  -8,  -8, -24, -20,  -8,  -8,  -8, -16, -24, -36
 636,     1, -26, -10,  54, -42, -26, -10, -10, -10, -38, -10, -10, -10, -42, -38, -34, -42, -42, -10, -42, -10
 637,     1,  -4,  -4,  -4, -12,  -4,  -4,  -4,  84, -12,  -8,  -4, -16,  -4,  -8,  -4,  -4,  -4, -16,  -4,  -4
 638,     1,  -3,  -3,  -3, -11,  -7,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  85,  -7,  -3,  -3
 639,     1,  -6,  -6,  90, -18, -10, -26,  -6, -18, -22,  -6,  -6,  -6, -26, -14, -10, -14,  -6, -18,  -6, -22
 640,     1, -20,  -4,  84, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -16
 641,     1, -16, -20, -20, -12,  -4,  -4, -12,  -4, -20,  -4, -12, -16,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  84
 642,     1,  -4,  -4,  -4,  -4,  -4,  -4,  84, -12, -16,  -4,  -8,  -4, -12,  -4,  -4, -12,  -4,  -4,  -4, -16
 643,     1,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11, -15,  -3,  -3,  -3
 644,     1,  -4,  -4,  -8, -12,  -4,  -4,  -4, -20,  -4,  -4,  -4, -16,  -4,  -4,  80,  -4,  -4,  -4,  -8, -16
 645,     1,  -4,  -8,  -4,  -4,  -8,  88,  -4,  -4,  -4,  -4,  -4,  88, -16, -16,  -4,  -4,  -4,  84, -12,  -4
 646,     1,  -4,  -4,  -4, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  88, -16,  -4,  -4, -12,  -4
 647,     1,  -4,  -4,  -4, -20,  -4,  -4,  -4,  -8,  -4,  -4,  88,  -4,  -4,  -4,  -4, -20,  -4,  -4,  -4,  -4
 648,     1,  86,  -6, -26,  -6,  -6,  -6,  -6,  -6,  -6, -14, -14,  -6, -30,  -6, -14, -26, -26, -22, -30,  -6
 649,     1,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  93,  -7,  -3
 650,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  90
 651,     1, -20,  -4,  -4,  -4,  -4, -20,  -4,  -8,  92,  -4, -16,  -4,  -4, -12, -12,  -8,  -4, -16,  -4,  -4
 652,     1,  -6,  -6,  -6,  -6,  -6, -30,  -6,  -6, -26,  -6, -14,  -6,  -6, -26,  -6,  90,  -6, -10,  -6,  -6
 653,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -8,  92,  -4,  -4,  -4
 654,     1,  -6, -26,  -6,  -6, -26,  -6, -22,  -6,  -6,  -6, -18, -18,  -6,  -6, -26,  -6, -22,  -6,  -6,  82
 655,     1,  -4, -16, -16,  -4, -16,  -4, -20,  -4, -16,  84,  -4,  -4,  -4,  -4,  -4,  -8, -16,  -4,  -4,  -4
 656,     1, -12,  -4,  -4,  84,  -4,  -4,  -4, -12,  -4,  -8,  -4, -20,  -4,  -4, -12,  -8,  -4, -12,  -4,  -4
 657,     1,  -5, -13, -21,  -5,  -5,  -5,  -5,  -5, -13,  -5, -21,  -5,  91, -25,  -5,  -5,  -9,  -5,  -9,  -5
 658,     1,  -3, -11,  -3, -11, -11,  -3,  -3, -11, -11,  -3,  -3,  85,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 659,     1,  -5, -21, -13, -13,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -13,  -9, -13,  79, -13,  -5,  -5,  -9,  -5
 660,     1, -20,  -4,  -4,  -8, -20,  -8,  -4,  -4,  -4,  80,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -20,  -4,  -8
 661,     1,  -5,  -5,  -5, -25, -13,  -5,  -5,  -5, -17,  -5,  -5,  -5, -17,  79, -21,  -5,  -9,  -5,  -5,  -5
 662,     1,  -4, -20,  -4,  -4,  -4,  -4,  -4,  -4,  84,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -8,  -4,  -4,  -4
 663,     1,  -5,  -5,  -5,  -5,  -5, -17, -13,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  79, -21,  -9,  -5
 664,     1,  -6, -18, -18, -22,  -6,  -6, -14, -26, -14,  -6, -10, -10,  -6, -18,  -6,  74,  -6,  -6,  -6,  -6
 665,     1,  -4,  -4,  -8, -12, -16, -20,  -4, -16,  -4,  -4,  -8,  -4,  -8,  -4, -12,  -4,  -4,  -4,  92, -16
 666,     1,  -4,  -4,  -4, -12,  -4,  -4,  -4,  -4,  -4,  -4, -16, -12,  -4, -16, -12,  -4,  -4,  -4,  -4,  84
 667,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  90,  -2,  -6,  -2, -10, -10,  -2,  -2,  -2
 668,     1,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 669,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  88,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -4
 670,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  90,  -2, -10,  -2,  -2,  -2,  -2,  -2,  -2,  -2, -10,  -2,  -2
 671,     1, -19,  -7,  -7, -11,  -7,  -7, -19,  -7,  -7, -27,  -7, -31,  -7,  73,  -7, -11, -15,  -7,  -7,  -7
 672,     1, -25,  -5,  -5,  -5, -17,  -5,  -5, -13,  -5, -13,  83,  -5,  -5,  -5, -13,  -5, -21,  -5,  -9,  -5
 673,     1, -13, -13,  -5,  -5, -17,  -5,  -9,  -5,  -5,  -9,  -5,  -5,  -5,  -5,  87, -13, -17,  -5,  -5,  -9
 674,     1,  -3,  85,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -7
 675,     1, -27, -19,  -7,  -7,  -7, -23, -27,  -7, -31,  -7, -35,  65, -23, -11, -15, -19,  -7,  -7,  -7,  -7
 676,     1, -30,  -6,  -6,  -6, -18, -14, -18,  90,  -6,  -6,  -6,  -6, -26,  -6, -10, -18,  -6,  -6,  -6,  -6
 677,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  85,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3
 678,     1,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -2,  -6,  -2,  -2,  90,  -2,  -2,  -2,  -6,  -2,  -6,  -2,  -6
 679,     1, -21,  -9,  -5,  -5, -25, -13,  -5,  -5,  -5,  -5,  -5,  -5, -21,  -5,  79,  -5,  -5, -21,  -5,  -5
 680,     1, -12,  -4,  -8,  -4,  -4,  -4, -12,  -4,  -8,  -4,  -4,  -4, -12,  -4,  -4,  -8,  -4,  -4,  -4,  88
 681,     1,  -4,  -4,  -8,  -4,  84, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -4,  -4,  -4
 682,     1,  -7, -27, -31, -31,  -7, -11, -15,  -7,  -7,  -7,  -7,  -7, -27,  -7,  -7,  73, -31,  -7,  -7, -11
 683,     1,  -6,  -6, -26, -10,  -6,  74, -30, -14,  -6,  86, -18, -22,  -6,  -6,  -6,  -6,  -6, -18, -30,  -6
 684,     1,  -6, -18,  -6,  90,  -6,  -6,  -6, -18,  -6,  -6, -22,  -6,  -6, -22, -22, -30,  -6,  -6,  -6,  -6
 685,     1, -27,  -7, -27,  -7, -35, -23,  -7, -15, -15, -31, -15, -31,  -7,  -7, -31,  -7,  85, -11, -19, -31
 686,     1,  -5,  -9,  -9,  -5,  -5,  -5,  -5, -17, -17,  -5,  91,  -5,  -5, -17,  -5,  -5, -21, -13,  -5, -25
 687,     1,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -14,  86, -22,  -6,  -6,  -6, -26,  -6, -22,  -6,  -6, -18,  -6
 688,     1,  66, -14, -10, -34, -10, -10, -10, -10, -42, -10, -10, -34, -22, -18, -22, -18, -42, -42, -42, -10
 689,     1,  -5, -17, -25,  -9,  -5,  -5,  -5,  -5, -21, -25,  83,  -5,  -9,  -5,  -5,  -5,  -5, -13,  -5,  -5
 690,     1,  -9,  -9,  -9,  -9, -41, -25,  -9,  -9,  -9,  -9,  -9, -41, -17,  -9, -33,  -9,  67, -25,  -9, -25
 691,     1,  -5,  -5, -17, -17,  -5,  -5,  -9, -17,  -5,  -5,  -5, -21,  91, -17, -13,  -5,  -5, -13,  -5,  -5
 692,     1,  -6, -14,  86,  -6, -14,  -6, -30, -26,  -6, -14,  -6, -22, -22, -14,  -6,  -6,  -6, -22,  -6, -14
 693,     1,  -5,  -5,  -5,  -5,  -5,  -5, -21,  79,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -13, -21, -21,  -5
 694,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  89, -11,  -3,  -3,  -3,  -3,  -3
