nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7,  A8,  A9,  A10,  A11,  A12,  A13,  A14
 687,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  -4, -20,  88
 688,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  85,  -3,  -3,  -3,  -3,  -3,  -3
 689,     1,  -4,  -4,  84,  -4,  -4,  -8, -16,  -4,  -4, -16,  -4,  -4,  -4, -16,  -4
 690,     1,  -3,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  -3,  -3,  89,  -3,  -3,  -3
 691,     1,  -4, -12,  -8,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4, -12,  92,  -4
 692,     1,  -3,  93,  -3,  -3,  -3,  -3, -15, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 693,     1,  -4,  -4,  -4,  -4,  -4,  -4, -20,  84,  -8,  -4,  -4,  -4,  -4,  -4,  -4
 694,     1,  -9, -13, -29,  -9, -13, -29,  -9,  -9,  83,  -9, -25, -21,  -9, -41, -41
 695,     1,  -5,  -5, -13,  -5,  -5,  87,  -5,  -5, -25,  -5,  -5,  -5,  -5,  -5, -21
 696,     1,  -6,  -6,  -6, -14,  -6,  -6,  -6,  -6,  -6, -26,  -6,  86,  -6, -30, -18
 697,     1,  -5,  79,  -5,  -5,  -5, -13,  -5,  -5,  -5,  -5, -21,  -5, -21,  -5,  -5
 698,     1,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -17, -13,  -5,  -5,  87,  -5
 699,     1,  -5,  -5, -13,  -5,  -9, -17,  87,  -5,  -5,  -5,  -9, -21, -13,  -5,  -5
 700,     1,  -7,  85,  -7,  -7, -27,  -7, -35, -19, -31,  -7,  -7, -19, -15,  -7,  -7
 701,     1, -32, -20,  -8, -28,  -8,  -8,  -8,  84, -36, -12, -20,  -8,  -8, -36,  -8
 702,     1,  -8, -12,  -8, -32,  -8,  -8,  -8, -32,  -8, -12, -32,  60, -24, -12, -16
 703,     1, -41,  71, -25, -17, -41,  67,  -9, -37,  -9,  -9,  -9,  -9, -25,  -9,  -9
 704,     1, -22,  -6,  -6, -10,  -6,  90,  -6, -10,  -6, -14, -26,  -6,  -6,  -6, -18
 705,     1,  -6, -26,  -6, -14,  -6,  -6, -14,  -6, -14,  74,  -6,  -6,  -6,  -6, -26
 706,     1,  -4,  -4,  -4, -16,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4, -12,  -4,  80
 707,     1, -25,  -5,  -5, -17,  -5, -21,  -5, -13,  -5,  -5,  -5,  83,  -5,  -9,  -5
 708,     1,  -8, -28,  -8, -24,  -8,  -8, -28, -32,  -8,  -8,  -8,  -8,  60, -20,  -8
 709,     1,  -9, -17,  -5,  -5, -17,  91, -21, -17, -17, -17, -21,  -5,  -5, -21,  -5
 710,     1,  -6,  -6, -14, -18, -18,  -6,  82, -10, -30, -10,  -6,  -6, -18,  -6, -18
 711,     1,  -4,  -4,  -4,  -4,  88,  -4,  -4,  -4,  -4,  -4, -16, -20, -12,  -4,  -4
 712,     1,  -4, -12, -20,  -4, -20,  88,  -4,  -4, -12,  -4, -16,  -4,  -8, -20,  -4
 713,     1, -12,  -4,  -4,  -4, -16, -12,  -8,  -4,  -4, -12,  -4, -16,  88,  -4,  -4
 714,     1,  -3, -11,  -3,  -3, -11,  -3,  -3,  -3, -11,  -3,  -7,  -3,  93,  -3,  -3
 715,     1,  -6,  -6, -18, -26,  -6, -26,  -6,  -6,  82,  -6, -14, -10,  -6,  -6,  -6
 716,     1, -13,  -5,  -5,  87,  -9,  -5,  -5,  -5,  -5,  -5, -21, -25,  -5,  -5,  -5
 717,     1,  -5,  -5,  -5,  -5,  -5,  -5, -25,  -5, -21,  -5,  -5,  -5,  -5,  91, -13
 718,     1,  -4, -16, -16,  -4,  -4,  -4,  -4,  88,  -4,  -8,  -4,  -4,  -4,  -4,  -4
 719,     1,  -8, -20,  -8, -32,  -8, -16,  -8,  -8,  -8,  -8,  72, -24, -32,  -8, -24
 720,     1,  -4,  -8,  -4,  -4,  -4,  84, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 721,     1,  -5, -21,  -5,  -9, -13,  -5, -21,  -5,  -5, -21, -13, -17,  -5,  -5,  79
 722,     1,  -7,  89,  -7, -15,  -7, -23,  -7,  -7,  -7, -27, -23,  -7,  -7, -19, -35
 723,     1,  -8, -32,  -8, -16,  -8, -24,  -8,  -8, -16,  -8, -28, -36,  80, -28, -28
 724,     1,  -5, -21, -25,  79,  -5,  -5,  -5, -13,  -9, -17,  -5,  -5,  -5, -17, -13
 725,     1, -35,  65,  -7,  -7,  -7,  -7,  -7, -15,  -7,  -7,  -7, -31, -15, -23,  -7
 726,     1,  -4,  -4,  -4, -20,  -4,  -4, -20, -20,  -4, -20, -20,  84,  -4,  -4,  -4
 727,     1,  -4,  -4,  -4, -12,  -4, -12,  -4,  84,  -4,  -4,  -4,  -4,  -4, -12, -12
 728,     1,  -8,  88,  -8,  -8,  -8, -20, -24,  -8,  -8,  -8,  -8, -40,  -8, -16, -36
 729,     1,  -6,  -6, -22,  -6,  -6,  -6, -18, -26,  -6, -18, -22, -14,  -6,  82,  -6
 730,     1, -14,  -6,  90,  -6,  -6, -14,  -6, -14,  -6,  -6,  -6, -26,  -6,  -6,  -6
 731,     0, -42, -10, -10, -10, -22, -42, -10, -18, -10, -10, -10, -10, -26, -38, -30
 732,     1, -17,  -5,  83, -13, -17,  -5,  -5,  -5,  -5,  -5, -21,  -5,  -5,  -5,  -5
 733,     1,  -7, -23, -15,  -7,  -7, -31,  -7, -15,  -7,  -7,  69,  -7,  -7,  -7,  -7
 734,     1, -13,  -5,  -5,  -5,  -5,  -9,  -5, -21,  -5,  91, -21,  -5,  -5,  -5, -17
 735,     1,  -5, -13,  -5,  -9,  87,  -5,  -5, -21,  -5,  -5,  -5,  -5,  -5, -25,  -5
 736,     1, -27, -35, -19,  -7,  -7, -31,  69, -15,  -7,  -7, -35,  -7, -11,  -7,  -7
 737,     1, -36,  -8,  -8,  -8, -20, -16, -12,  -8,  -8,  -8,  -8,  -8,  -8,  64,  -8
 738,     1,  -8, -24,  -8,  72,  -8,  -8, -28,  -8,  -8, -36, -16, -28,  -8, -20,  -8
 739,     1, -15,  -7, -23,  -7, -15, -35, -27,  -7,  -7,  69, -19, -27, -19,  -7,  -7
 740,     1,  -4, -16,  -4,  -4, -20,  -4, -16,  -4,  -4,  -4,  -4,  -4,  -4,  88, -16
 741,     1,  -2,  -2,  -2,  -2,  -2,  -6,  90,  -2,  -2,  -2,  -6,  -2,  -2,  -2,  -2
 742,     1,  -5,  -5,  -5,  -5, -17,  -5,  -5, -21,  -5,  -5, -13, -21,  -5, -17,  79
 743,     1,  -4,  -4,  -4, -20,  88,  -4, -12,  -4,  -4,  -4,  -4, -12,  -4, -12,  -4
 744,     1,  -5,  -5,  -5,  -5, -25,  91,  -5, -17, -17,  -5,  -5, -13,  -5,  -5,  -5
 745,     1,  -4,  -4,  -4,  -4,  80,  -4,  -4,  -4, -12,  -4, -16, -16,  -4,  -4,  -4
 746,     1,  -8, -24, -24, -24,  -8, -16,  -8, -20,  -8, -16,  76,  -8, -20,  -8,  -8
 747,     1,  -7,  -3,  -3,  -3,  -3,  89,  -3,  -3,  -3,  -3,  -3, -11, -11,  -3,  -3
 748,     1, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -15,  -3,  -7,  85, -11,  -7
 749,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -8, -16,  -8,  88,  -4,  -8,  -4,  -4,  -4
 750,     1,  -6,  -6,  -6,  -6,  -6, -22,  -6,  -6,  -6,  -6,  -6,  70,  -6, -26,  -6
 751,     1, -10, -38, -26, -10, -10, -18,  66, -10, -10, -34, -10, -42, -30, -10, -10
 752,     1,  -7,  -3,  -3, -11,  85,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -7
 753,     1,  -4, -20,  -4, -12,  -4,  -4, -16, -20,  -4,  -4, -16,  -4,  -8,  84,  -4
 754,     1,  -9, -13,  -5,  -5,  -9,  -5,  -5, -17,  -5,  -5,  -5,  91,  -5, -21,  -5
 755,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  93,  -3
 756,     1,  -3,  -3,  -3,  93,  -3,  -3,  -3, -11,  -7, -11,  -3,  -3, -15,  -3,  -3
 757,     1, -23,  -7,  -7, -27, -27,  -7,  -7,  -7,  89,  -7,  -7, -11,  -7,  -7,  -7
 758,     1, -13,  -5,  -5,  -5,  -5,  -5,  87, -13, -17,  -9,  -9,  -5,  -5, -13,  -5
 759,     1,  89,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3, -15, -11,  -7,  -3,  -3,  -3
 760,     1, -22, -10, -38,  54, -22, -14, -10, -10, -42, -10, -14, -10, -10, -10, -42
 761,     1,  -5,  -5,  -5, -13,  -5,  91,  -5,  -9, -21, -13,  -5,  -5,  -5,  -5, -21
 762,     1,  -8, -16, -16,  64, -36,  -8,  -8,  -8, -20, -24, -36, -36,  -8,  -8,  -8
 763,     1,  -4,  -4,  -4, -16,  -8,  -4,  88,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4
 764,     1, -33,  -9, -41,  -9, -17, -29, -29,  -9, -13, -41, -21,  71,  -9,  -9, -41
 765,     1, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  89,  -3, -15,  -3,  -3
 766,     1, -12,  -4,  -4,  88,  -4,  -8, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 767,     1,  -8,  -8, -28,  -8, -12,  -8,  -8,  76,  -8,  -8, -24,  -8, -24,  -8, -20
 768,     1,  60, -28, -12, -16, -32,  -8, -16, -32, -36,  -8,  -8, -28,  -8, -32,  -8
 769,     1,  -6,  -2,  94,  -2,  -6,  -2,  -2, -10,  -2,  -2,  -6,  -2,  -6,  -2,  -2
 770,     1,  -2,  -2,  -2,  -2,  -2, -10,  -2,  -2,  -2,  94,  -2,  -2,  -2,  -2,  -2
 771,     1, -27, -27, -23, -31,  -7, -23,  -7,  73, -19, -27, -35,  -7,  65, -27,  -7
 772,     1,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  85,  -3,  -3,  -7,  -3
 773,     1,  -6, -14,  -6, -10,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -10, -18,  -6,  86
 774,     1,  -5,  -5,  91,  -5,  -5, -17, -13,  -5,  -9,  -5,  -5,  -9,  -5,  -5,  -5
 775,     1,  -3, -11,  -3,  -3,  -3, -15,  -3,  -3,  -3,  -3,  89,  -3,  -3,  -3,  -3
 776,     1,  -3,  -3,  -3, -11,  85,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -15,  -3,  -3
 777,     1,  -3,  -3,  -7,  89,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  -3, -11
 778,     1,  65, -27,  -7,  -7, -23,  -7, -15, -31,  -7,  -7,  -7,  -7,  -7,  -7,  -7
 779,     1,  -4,  -4,  -4,  -4,  -4,  -8,  92,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4
 780,     1,  -5,  -5, -17,  -5,  -5,  -5,  -5,  -5, -13,  79,  -5,  -5, -21,  -5, -13
 781,     1, -13,  -5,  -5,  -5,  -5, -17,  -5, -17, -17,  -5,  -5,  -5,  -5,  -5,  87
 782,     1,  -5,  -5,  -5,  -5,  87, -17,  -5,  -9,  -5,  -5, -13,  -5,  -5,  -5,  -5
 783,     1,  -8, -12,  -8,  -8,  -8,  -8,  -8,  64,  -8, -32, -36,  -8,  -8,  -8,  -8
 784,     1,  -3,  -3, -15,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  85,  -3,  -3,  -3
 785,     1,  -6, -22,  86, -10,  -6, -26,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6
 786,     1,  -5, -25,  87,  -5, -13, -17,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -25,  -5
 787,     1,  -7,  -7,  77, -19, -15, -11,  -7, -11, -31,  -7, -35, -31, -23,  -7, -15
 788,     1,  -6,  -6, -30,  82,  -6,  -6,  -6,  -6,  -6, -10,  -6,  -6, -10,  -6,  -6
 789,     1,  -9, -29, -25,  -9,  -9,  -9, -37, -13, -13,  71,  -9,  -9,  -9, -21,  -9
 790,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  90,  -2,  -2,  -6,  -2,  -2
 791,     1, -17,  -5, -17,  -5,  -5, -21,  -5,  79, -17,  -5,  -9, -17,  -5,  -5,  -5
 792,     1,  -4, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  84,  -4,  -4,  -4, -12
 793,     1, -13,  -5,  -5,  79,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -17,  -5, -17
 794,     1,  -2,  -2,  -2,  -6,  -2, -10,  -6,  -2,  -2,  -2,  -2,  -2,  90,  -2,  -2
 795,     1,  -9, -33, -25, -33,  -9,  -9, -41, -41,  -9,  -9, -41,  -9, -41,  83,  -9
 796,     1,  -7,  -7,  -7, -31,  -7, -15,  -7,  -7,  -7,  -7, -27,  -7,  -7,  89,  -7
 797,     1, -29, -17,  -9,  -9,  -9, -41,  67, -25,  -9,  -9,  -9,  -9,  -9,  -9, -25
 798,     1, -19,  -7,  -7, -15,  -7, -31,  -7, -19,  -7,  89, -15, -15,  -7,  -7, -31
 799,     1,  -3, -11,  -7,  85,  -3,  85, -15,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3
 800,     1,  -6,  74, -30,  -6, -18,  -6, -30,  -6,  -6,  -6, -10, -22,  -6, -14,  -6
 801,     1,  -9,  -9,  75, -17,  -9, -25,  -9, -25,  -9, -29, -25,  -9,  -9,  -9, -13
 802,     1,  -5,  -5,  -5,  -5, -17, -17,  87,  -5,  -5,  -5,  -5,  -5, -17,  -5,  -5
 803,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  85,  -3,  -3, -11,  -3,  -3
 804,     1,  -3,  -3,  89,  -3, -15,  -3, -11,  -3,  -7,  -3,  -3,  -3,  -3,  -7,  -3
 805,     1,  -5,  -5, -21,  -9,  -5,  -5, -21,  87,  -5,  -5,  -5, -21, -21,  -5, -13
 806,     1,  -4,  80,  -4,  -4,  -4,  -4,  -4, -20,  -4,  -4,  -4,  -4,  -4,  -4, -12
 807,     1, -22, -10,  70, -18, -10, -10, -10, -10, -38, -42, -10, -22, -42, -26, -10
 808,     1,  -6,  -6,  -6,  78,  -6, -22,  -6,  -6, -22,  -6,  -6, -30, -30,  -6, -26
 809,     1, -15,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -15,  -3, -15,  -3,  -3,  -3
 810,     1,  87,  -5,  -5,  -5,  -5,  -5, -17, -17,  -9,  -5,  -5,  -5,  -5,  -5,  -5
 811,     1, -13,  -5,  -5,  -5,  -5,  -5, -25,  -5,  -5, -13,  79,  -5,  -5, -25,  -5
 812,     1, -16,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  84,  -4, -12,  -4
 813,     1,  -5,  79, -13,  -5, -13, -21, -25, -17,  -5,  -5, -13,  -5,  -5,  -5,  -5
 814,     1,  -3,  -3,  -3, -15,  -3,  -3,  -3, -15,  93,  -3,  -3,  -3,  -3,  -3, -15
 815,     1,  -8, -28,  -8,  -8,  -8,  -8,  -8,  -8, -20, -28,  84,  -8, -16, -36,  -8
 816,     1,  -8, -36,  -8, -36, -36,  -8,  -8,  -8, -16,  72, -16, -32,  -8,  -8, -24
 817,     1,  -4,  -4,  88,  -8, -12, -12,  -4,  -4, -16,  -4,  -4,  -4,  -8,  -8,  -4
 818,     1,  -6,  -6,  -6,  -6, -30,  -6,  78, -26,  -6, -18,  -6,  -6, -18,  -6,  -6
 819,     1,  -8,  -8,  -8, -32,  -8,  -8,  -8,  -8,  72, -20, -32,  -8, -20,  -8,  -8
 820,     1,  -8,  92,  -4,  -4,  -4,  -4, -12,  -4,  -4,  -4, -20,  -4,  -4, -16,  -4
 821,     1, -16, -20,  -8, -28,  -8,  -8, -16,  64, -16, -12, -32,  -8, -20,  -8,  -8
 822,     1,  -8,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4,  -4,  -8,  84, -16,  -8,  -4
 823,     0, -11, -11, -31, -11, -11, -11, -35, -35, -27, -27, -11, -11, -15, -35, -11
 824,     1,  -6,  -6, -14,  -6,  -6, -30,  -6,  -6, -30,  -6,  -6, -30, -18,  82, -18
 825,     1, -25,  87,  -9,  -9, -41, -33,  -9,  -9,  -9, -41,  -9,  -9, -37,  -9,  -9
 826,     1, -22, -10,  74, -14,  -6, -30,  -6, -10,  -6, -22,  -6, -14, -14,  -6, -22
 827,     1,  -9,  -9,  -9,  -9, -41,  -9,  71,  -9, -33,  -9, -29,  -9,  -9, -41, -21
 828,     1,  -4,  -4,  -4, -16,  -4,  -4, -16, -16,  -4,  -4,  -4,  -4,  88,  -4,  -4
 829,     1, -22,  -6,  -6,  -6, -30,  -6,  -6,  -6,  -6,  -6,  -6, -22,  -6,  78,  -6
 830,     1, -10, -38, -42, -18,  62, -26, -14, -10, -38, -22, -22, -10, -26, -14, -18
 831,     1,  -4,  -4,  -4,  84,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4, -16
 832,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  94,  -2,  -6,  -2,  -2
 833,     1,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  84,  -4,  -4,  -4,  -4, -20, -12,  -4
 834,     1,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3, -15, -11,  -3,  93,  -3,  -3
 835,     1,  -2,  -2,  -2,  94,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 836,     1,  -6, -26,  -6, -10, -18, -26,  74,  -6, -10, -26,  -6, -18, -26, -22, -22
 837,     1,  -4,  -4,  -4,  -4,  -4, -12,  -8,  -4,  -4,  -4,  80, -12,  -4, -12,  -4
 838,     1,  -6, -14,  -6,  -6,  -6, -30, -10,  82,  -6,  -6,  -6,  -6, -30,  -6, -14
 839,     1,  -9, -17,  -9,  -9, -37,  -9,  -9, -33,  -9,  -9, -21, -41,  -9, -21,  59
 840,     1,  -5,  -5, -17,  -5,  -5,  -5, -13,  -5,  -5,  -5,  -5, -25,  79,  -5,  -5
 841,     1, -18, -10,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -22,  -6,  90, -26,  -6
 842,     1,  -6,  -6, -22,  -6,  -6,  78,  -6,  -6,  -6,  -6, -26,  -6, -22,  -6, -14
 843,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3,  89,  -3,  -3,  -7
 844,     1, -18,  -6,  -6, -14,  -6, -10,  82,  -6,  -6,  -6,  -6, -10, -22, -14,  -6
 845,     1, -36,  -8,  76, -36,  -8,  -8,  -8, -16,  -8, -20,  -8,  -8, -24, -40, -32
 846,     1,  -3,  -3,  -7,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3, -15,  -3,  93,  -3
 847,     1,  -2,  -2,  -6,  -2,  -2,  94,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2
 848,     1,  -3,  -3,  -7,  -3, -11,  -3, -11,  -3,  93,  -3,  -3,  -3,  -3,  -3,  -3
 849,     1, -35, -35,  81, -15,  -7,  -7, -35,  -7,  -7,  -7, -27,  -7, -23,  -7,  -7
 850,     1,  -4,  -8,  -4,  -4,  -4,  -4,  84, -20,  -4, -12,  -4,  -4,  -4,  -4,  -4
 851,     1,  -3,  -3,  -3,  -3,  -7,  -7,  -3,  -3, -11,  -3,  -3,  85,  -3,  -7, -11
 852,     1,  -8,  64,  -8,  -8,  -8, -28, -12, -28, -24,  -8,  -8,  -8,  -8,  -8, -28
 853,     1,  -4, -16,  -4,  -4,  -4,  -4,  -8,  84,  -4, -12,  -4,  -4,  -4,  -8,  -4
 854,     1, -12,  -4,  -4,  84,  -4,  -4,  -8, -16, -16, -16,  -4, -16, -20,  -4,  -4
 855,     1,  -9,  -9,  -9,  -9,  -9,  -9, -25,  -9,  -9,  63, -29, -25, -21, -13,  -9
 856,     1,  -5, -21,  -5, -25,  -5,  83,  -5,  -5, -13,  -5,  -5,  -5,  -5, -21, -17
 857,     1,  -8,  -8,  -8,  84, -16,  -8, -28, -12, -28,  -8, -12, -20, -12, -24, -36
 858,     1,  -8, -16, -12,  -4,  -8,  -4,  88,  -4,  -4,  -4,  -8, -16,  -8,  -4, -12
 859,     1,  -3,  -3, -15,  -3,  85,  -3,  -3,  -3,  -3,  -3, -15,  -3,  -3,  -3,  -3
 860,     1,  -3,  -3, -15,  89,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -7
 861,     1,  -8,  -8,  -8,  -8,  80, -36, -24, -24, -20, -40,  -8,  -8, -12, -36,  -8
 862,     1,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  88,  -4,  -4, -12,  -4,  -4,  -4,  -4
 863,     1,  -3, -11,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -7, -15,  -3,  -3, -11,  -7
 864,     1, -10, -10, -14, -42, -10, -42, -10, -10,  62, -10, -38, -42, -10, -42, -10
 865,     1, -33, -21, -13,  -9, -25, -13, -41, -41,  -9, -33,  -9, -37,  63,  -9,  -9
 866,     1,  -9,  -9, -21, -41,  -9, -37, -33, -21,  67,  -9,  -9, -29,  -9,  -9, -41
 867,     1,  -7,  -7,  -7,  -7,  -7,  89,  -7,  -7,  -7, -31,  -7, -27,  -7,  -7,  -7
 868,     1, -31,  -7, -15, -31,  -7, -35, -23, -31,  -7,  -7,  -7,  81,  -7,  -7, -23
 869,     1,  -4,  -8,  -4,  92, -12, -16,  -4, -20,  -4,  -4,  -4, -16,  -4,  -4, -20
 870,     1, -12, -28, -28,  -8,  -8,  -8, -32, -16, -16,  -8,  -8, -12, -40,  88, -20
 871,     1,  -4,  -8,  -8, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  88,  -4,  -4,  -4
 872,     1,  -8,  -8, -16, -24, -28, -36, -12,  -8,  -8,  -8, -36,  -8,  -8,  -8,  64
 873,     1, -15,  -7, -19, -27,  -7,  -7, -35, -23,  -7, -31,  -7,  73,  -7, -23,  -7
 874,     1,  -5,  -5, -21,  -5, -25,  -5,  -9,  -5,  -5,  -5,  -5, -21,  -5,  -5,  79
 875,     1,  -2,  94,  -2,  -2,  -2,  -6, -10,  -2,  -2,  -2,  -2,  -2,  -6,  -2,  -2
 876,     1,  -3,  -3,  -3, -11, -15, -11, -11,  -7,  93,  -3,  -3,  -7,  -7,  -3,  -3
 877,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2,  -2, -10,  -2,  -2,  -6,  -2,  -2,  90
 878,     1,  -7,  -7,  -7,  -7,  -7, -27,  81,  -7,  -7,  -7,  -7,  -7, -31,  -7,  -7
 879,     1, -20,  -4, -16, -16,  -4, -12,  -4,  -4,  -4,  -4, -12,  -8, -12,  -4,  92
 880,     1, -23, -15, -11, -27,  -7, -19, -11,  -7,  -7,  -7, -35, -23,  73, -27, -11
 881,     1, -11,  -3,  -3,  93,  -7,  -3,  -3,  -3, -15,  -3,  -3,  -3, -11, -11,  -3
 882,     1,  -6, -26, -10,  -6,  86,  -6,  -6, -18,  -6, -18,  -6, -10,  -6,  -6,  -6
 883,     1,  -7, -11, -23,  -7,  -7,  -7,  69, -31,  -7,  -7,  -7,  -7,  -7,  -7,  -7
 884,     1,  -7, -11, -27, -19,  -7,  -7, -27,  -7,  65, -27,  -7, -31,  -7, -11, -11
 885,     1, -22,  -6,  74,  -6, -18,  -6,  -6, -10, -18, -22,  -6,  -6,  -6,  -6,  -6
 886,     1,  93,  -3,  -7,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -7
 887,     1,  -5,  -5, -21,  -5,  87,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5
 888,     1,  89,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3
 889,     1,  -4, -12,  -4, -16,  92,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -4
 890,     1, -40,  -8,  -8, -20,  -8, -40,  60,  -8,  -8, -40, -12,  -8, -20,  -8,  -8
 891,     1,  -3, -11, -11,  -3,  93, -15,  -3,  -7,  -3,  -3,  -3,  -3,  -3, -11,  -3
 892,     1,  -7,  -3,  -3,  -3,  -3, -11, -11,  -7,  -3,  -3,  -3,  -7,  -3,  93,  -3
 893,     1,  -9, -33,  -9,  -9,  -9,  -9,  75, -29,  -9,  -9, -33,  -9,  -9, -33,  -9
 894,     1, -28, -28,  -8, -20,  68, -28, -16,  -8, -20, -16, -28,  -8,  -8,  -8,  -8
 895,     1,  -6, -30,  -6,  78,  -6,  -6, -14,  -6,  -6, -10,  -6,  -6,  -6,  -6,  -6
 896,     1,  -9, -17,  -9,  -9, -21,  -9, -37, -37,  -9,  -9, -25,  -9, -41,  -9,  63
 897,     1, -41, -41, -37,  -9,  67, -41,  -9,  -9,  -9, -41,  -9,  -9,  -9,  -9,  -9
 898,     1, -31,  65, -27,  -7,  -7,  -7,  -7,  -7, -27,  -7, -23, -19,  -7, -11, -11
 899,     1,  -7, -15,  -3,  -3,  -3, -11,  -3,  -3, -11,  -3, -11,  -3,  89, -11, -11
 900,     1,  -7, -23,  -7,  73,  -7, -27, -35,  -7,  -7,  -7,  -7,  -7, -15,  -7,  -7
 901,     1,  -3,  93,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3
 902,     1,  -4,  -4,  -4, -20,  -4,  -8,  -4, -12,  92,  -4,  -4, -12,  -4,  -4,  -4
 903,     1, -16,  -8, -16,  -4,  -4,  -4,  80,  -4,  -4,  -4,  -4, -20,  -4,  -4, -12
 904,     1,  -2,  -2,  -2,  -2,  -2,  -2,  -2, -10,  -2,  -2,  -2,  94,  -2,  -2,  -2
 905,     1, -11,  -7,  -7,  -7,  -7,  -7,  -7, -31, -31,  73,  -7,  -7,  -7,  -7, -23
 906,     1, -41,  -9,  -9, -41, -29, -41, -33,  -9, -25,  67,  -9,  -9,  -9, -33, -33
 907,     1, -12, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -20,  -4,  -4,  92
 908,     1, -24,  -8, -20, -36,  -8, -12,  -8,  -8,  72, -12,  -8,  -8,  -8,  -8,  -8
 909,     1,  -5,  -5, -13,  -5,  79, -13,  -5,  -5, -17,  -5,  -5,  -5,  -5, -25,  -9
 910,     1,  -6,  -6, -18, -14, -22,  -6,  -6,  -6,  86, -22,  -6, -26, -18,  -6,  -6
 911,     1,  -9,  71, -29,  -9,  -9, -37, -29, -25,  -9, -37,  -9,  -9, -21, -13,  -9
 912,     1,  -2,  -2,  -2,  -2,  -2,  -2,  90,  -2,  -6,  -2,  -2,  -2,  -2,  -2,  -2
 913,     1, -17,  -9,  63, -29, -37,  -9, -37, -41,  -9, -37, -33,  -9,  -9, -41,  -9
 914,     1,  70,  -6,  -6, -10,  -6,  -6, -26, -10, -18,  -6,  -6, -10, -10, -22,  -6
 915,     1, -17, -29, -25, -25, -21,  -9,  -9, -25,  -9, -21,  -9, -21,  59,  -9,  -9
